filename;Begin Time - msec;End Time - msec;boom_sequence;intervals;start abrk;end bark;duration
Opp_August_14_Session_1_zoom_syncedboom;565549;565989;1;1_boom;;;
Opp_August_14_Session_1_zoom_syncedboom;566013;566230;1;1_bark;0.471816;0.705178;0.233362
Opp_August_14_Session_1_zoom_syncedboom;566716;567000;1;2_bark;1.189466;1.447921;0.258455
Opp_August_19_Session_1_zoom_syncedboom;290371;290998;4;1_boom;;;
Opp_August_19_Session_1_zoom_syncedboom;291035;291251;4;1_bark;0.661854;0.864752;0.202898
Opp_August_19_Session_1_zoom_syncedboom;291855;292415;4;2_boom;;;
Opp_August_19_Session_1_zoom_syncedboom;292449;292862;4;2_bark;2.067525;2.287691;0.220166
Opp_August_19_Session_1_zoom_syncedboom;293090;293686;4;3_boom;;;
Opp_August_19_Session_1_zoom_syncedboom;293694;294174;4;3_bark;3.421676;3.626013;0.204337
Opp_August_19_Session_1_zoom_syncedboom;406302;406763;5;1_boom;;;
Opp_August_19_Session_1_zoom_syncedboom;406835;407035;5;1_bark;not fit for acoustics, overlap ;;
Opp_August_19_Session_1_zoom_syncedboom;407606;408089;5;2_boom;;;
Opp_August_19_Session_1_zoom_syncedboom;408148;408537;5;2_bark;not fit for acoustics, overlap ;;
Opp_August_19_Session_1_zoom_syncedboom;411530;411904;6;1_boom;;;
Opp_August_19_Session_1_zoom_syncedboom;411972;412196;6;1_bark;;;
Opp_August_19_Session_1_zoom_syncedboom;412268;412718;6;2_boom;;;
Opp_August_19_Session_1_zoom_syncedboom;412762;412994;6;2_bark;;;
Opp_August_19_Session_1_zoom_syncedboom;413099;413545;6;3_boom;;;
Opp_August_19_Session_1_zoom_syncedboom;413565;413938;6;3_bark;;;
Opp_August_19_Session_1_zoom_syncedboom;414730;415175;6;4_boom;;;
Opp_August_19_Session_1_zoom_syncedboom;415183;415583;6;4_bark;;;
Opp_August_19_Session_1_zoom_syncedboom;415853;416309;6;5_boom;;;
Opp_August_19_Session_1_zoom_syncedboom;416322;416788;6;5_bark;;;
Opp_August_19_Session_1_zoom_syncedboom;435606;436113;8;1_boom;;;
Opp_August_19_Session_1_zoom_syncedboom;436173;436426;8;1_bark;;;
Opp_August_19_Session_1_zoom_syncedboom;436434;436858;8;2_boom;;;
Opp_August_19_Session_1_zoom_syncedboom;436947;437211;8;2_bark;;;
Opp_August_19_Session_1_zoom_syncedboom;437545;437979;8;3_boom;;;
Opp_August_19_Session_1_zoom_syncedboom;438034;438306;8;3_bark;;;
Opp_August_19_Session_1_zoom_syncedboom;438346;438677;8;4_boom;;;
Opp_August_19_Session_1_zoom_syncedboom;438742;438971;8;4_bark;;;
Opp_August_19_Session_1_zoom_syncedboom;439011;439259;8;5_boom;;;
Opp_August_19_Session_1_zoom_syncedboom;439303;439543;8;5_bark;;;
Opp_August_20_Session_1_zoom_syncedboom;603980;604590;1;1_boom;;;
Opp_August_20_Session_1_zoom_syncedboom;604610;604780;1;1_bark;0.662482;0.872009;0.209527
Opp_August_20_Session_1_zoom_syncedboom;605220;605810;1;2_boom;;;
Opp_August_20_Session_1_zoom_syncedboom;605820;606090;1;2_bark;1.882979;2.118697;0.235718
Opp_August_20_Session_1_zoom_syncedboom;606410;606980;1;3_boom;;;
Opp_August_20_Session_1_zoom_syncedboom;607000;607240;1;3_bark;3.053713;3.331337;0.277624
Opp_August_21_Session_1_zoom_syncedboom;673880;674430;1;1_boom;;;
Opp_August_21_Session_1_zoom_syncedboom;674442;674708;1;1_bark;0.56321;0.791001;0.227791
Opp_August_21_Session_1_zoom_syncedboom;674722;675248;1;2_boom;;;
Opp_August_21_Session_1_zoom_syncedboom;675258;675486;1;2_bark;1.380861;1.625436;0.244575
Opp_August_21_Session_1_zoom_syncedboom;675856;676476;1;3_boom;;;
Opp_August_21_Session_1_zoom_syncedboom;676478;676698;1;3_bark;2.597472;2.834854;0.237382
Opp_August_21_Session_1_zoom_syncedboom;676798;677314;1;4_boom;;;
Opp_August_21_Session_1_zoom_syncedboom;677334;677558;1;4_bark;3.458282;3.688471;0.230189
Opp_August_21_Session_1_zoom_syncedboom;678022;678536;1;5_boom;;;
Opp_August_21_Session_1_zoom_syncedboom;678568;678780;1;5_bark;4.697798;4.901611;0.203813
Opp_August_21_Session_1_zoom_syncedboom;678856;679316;1;6_boom;;;
Opp_August_21_Session_1_zoom_syncedboom;679334;679566;1;6_bark;5.460299;5.68809;0.227791
Opp_August_21_Session_1_zoom_syncedboom;679610;680024;1;7_boom;;;
Opp_August_21_Session_1_zoom_syncedboom;680028;680232;1;7_bark;6.142348;6.382128;0.23978
Opp_August_29_Session_1_zoom_syncedboom;331266;331850;1;1_boom;;;
Opp_August_29_Session_1_zoom_syncedboom;331859;332261;1;1_bark;;;
Opp_August_29_Session_1_zoom_syncedboom;332604;333163;1;2_boom;;;
Opp_August_29_Session_1_zoom_syncedboom;333182;333556;1;2_bark;;;
Opp_August_29_Session_1_zoom_syncedboom;333574;334022;1;3_boom;;;
Opp_August_29_Session_1_zoom_syncedboom;334061;334487;1;3_bark;;;
Opp_August_29_Session_1_zoom_syncedboom;334852;335323;1;4_boom;;;
Opp_August_29_Session_1_zoom_syncedboom;335329;335766;1;4_bark;;;
Opp_August_29_Session_1_zoom_syncedboom;880512;881446;7;1_boom;;;
Opp_August_29_Session_1_zoom_syncedboom;881490;881784;7;1_bark;1.008621;1.277015;
Opp_August_29_Session_1_zoom_syncedboom;883872;884329;7;2_boom;;;
Opp_August_29_Session_1_zoom_syncedboom;884363;884691;7;2_bark;3.891938;4.171835;
Opp_August_31_Session_1_zoom_syncedboom;369958;370314;2;1_boom;;;
Opp_August_31_Session_1_zoom_syncedboom;370355;370873;2;1_bark;0.431541;0.670475;
Opp_August_31_Session_1_zoom_syncedboom;371041;371542;2;2_boom;;;
Opp_August_31_Session_1_zoom_syncedboom;371546;371922;2;2_bark;1.643911;1.856297;
Opp_August_31_Session_1_zoom_syncedboom;371985;372302;2;3_boom;;;
Opp_August_31_Session_1_zoom_syncedboom;372304;372629;2;3_bark;2.396112;2.610071;
Opp_August_31_Session_1_zoom_syncedboom;373100;373560;3;1_boom;;;
Opp_August_31_Session_1_zoom_syncedboom;373599;374027;3;1_bark;0.517199;0.751563;
Opp_August_31_Session_1_zoom_syncedboom;374030;374370;3;2_boom;;;
Opp_August_31_Session_1_zoom_syncedboom;374380;374720;3;2_bark;1.303993;1.545797;
Opp_August_31_Session_1_zoom_syncedboom;374722;375025;3;3_boom;;;
Opp_August_31_Session_1_zoom_syncedboom;375066;375344;3;3_bark;1.981045;2.206109;
Opp_August_31_Session_1_zoom_syncedboom;482567;483093;4;1_boom;;;
Opp_August_31_Session_1_zoom_syncedboom;483095;483366;4;1_bark;;;
Opp_August_31_Session_1_zoom_syncedboom;484286;484843;4;2_boom;;;
Opp_August_31_Session_1_zoom_syncedboom;484859;485167;4;2_bark;;;
Opp_August_31_Session_1_zoom_syncedboom;489020;489594;4;3_boom;;;
Opp_August_31_Session_1_zoom_syncedboom;489601;489988;4;3_bark;;;
Opp_August_31_Session_1_zoom_syncedboom;494066;494562;4;4_boom;;;
Opp_August_31_Session_1_zoom_syncedboom;494572;494873;4;4_bark;;;
Opp_August_31_Session_1_zoom_syncedboom;496420;496790;4;5_boom;;;
Opp_August_31_Session_1_zoom_syncedboom;496810;496990;4;5_bark;;;
Opp_August_31_Session_1_zoom_syncedboom;497020;497240;4;6_boom;;;
Opp_August_31_Session_1_zoom_syncedboom;497270;497500;4;6_bark;;;
Opp_August_31_Session_1_zoom_syncedboom;497510;497750;4;7_boom;;;
Opp_August_31_Session_1_zoom_syncedboom;497760;497970;4;7_bark;;;
Opp_August_31_Session_1_zoom_syncedboom;498000;498170;4;8_boom;;;
Opp_August_31_Session_1_zoom_syncedboom;498200;498510;4;8_bark;;;
Opp_August_31_Session_1_zoom_syncedboom;499244;499704;4;9_boom;;;
Opp_August_31_Session_1_zoom_syncedboom;499775;500090;4;9_bark;;;
Opp_August_31_Session_1_zoom_syncedboom;500100;500590;4;10_boom;;;
Opp_August_31_Session_1_zoom_syncedboom;500600;500860;4;10_bark;;;
Opp_August_31_Session_1_zoom_syncedboom;500900;501430;4;11_boom;;;
Opp_August_31_Session_1_zoom_syncedboom;501460;501710;4;11_bark;;;
Opp_August_31_Session_1_zoom_syncedboom;501820;502180;4;12_boom;;;
Opp_August_31_Session_1_zoom_syncedboom;502190;502450;4;12_bark;;;
Opp_August_31_Session_1_zoom_syncedboom;502570;502939;4;13_boom;;;
Opp_August_31_Session_1_zoom_syncedboom;502939;503229;4;13_bark;;;
Opp_June_15_Session_1_zoom_syncedboom;133306;133850;1;1_boom;;;
Opp_June_15_Session_1_zoom_syncedboom;133850;134118;1;1_bark;0.543381;0.756194;
Opp_June_15_Session_1_zoom_syncedboom;134121;134455;1;2_boom;;;
Opp_June_15_Session_1_zoom_syncedboom;134455;134806;1;2_bark;1.214693;1.429236;
Opp_June_15_Session_1_zoom_syncedboom;134826;135192;1;3_boom;;;
Opp_June_15_Session_1_zoom_syncedboom;135195;135396;1;3_bark;not complete;;
Opp_June_15_Session_1_zoom_syncedboom;218732;218834;3;1_boom;;;
Opp_June_15_Session_1_zoom_syncedboom;218834;219036;3;1_bark;0.63059;0.817021;
Opp_June_15_Session_1_zoom_syncedboom;219038;219343;3;2_boom;;;
Opp_June_15_Session_1_zoom_syncedboom;219345;219695;3;2_bark;2.150924;2.337355;
Opp_June_15_Session_1_zoom_syncedboom;220170;220807;3;3_boom;;;
Opp_June_15_Session_1_zoom_syncedboom;220815;221158;3;3_bark;3.380652;3.581424;
Opp_June_15_Session_1_zoom_syncedboom;221539;222021;3;4_boom;;;
Opp_June_15_Session_1_zoom_syncedboom;222085;222465;3;4_bark;4.178813;4.393926;
Opp_June_15_Session_1_zoom_syncedboom;222474;222848;3;5_boom;;;
Opp_June_15_Session_1_zoom_syncedboom;222887;223139;3;5_bark;4.949634;5.186258;
Opp_June_15_Session_1_zoom_syncedboom;223220;223575;3;6_boom;;;
Opp_June_15_Session_1_zoom_syncedboom;223664;223978;3;6_bark;6.274675;6.500543;
Opp_June_15_Session_1_zoom_syncedboom;224460;224882;3;7_boom;;;
Opp_June_15_Session_1_zoom_syncedboom;224988;225301;3;7_bark;7.696842;7.897613;
Opp_June_15_Session_1_zoom_syncedboom;225898;226347;3;8_boom;;;
Opp_June_15_Session_1_zoom_syncedboom;226415;226762;3;8_bark;9.170219;9.417599;
Opp_June_15_Session_1_zoom_syncedboom;227335;227821;3;9_boom;;;
Opp_June_15_Session_1_zoom_syncedboom;227896;228224;3;9_bark;not in long sequence?;;
Opp_June_15_Session_1_zoom_syncedboom;234593;234817;4;1_boom;;;
Opp_June_15_Session_1_zoom_syncedboom;234903;235230;4;1_bark;;;
Opp_June_15_Session_1_zoom_syncedboom;235370;235960;4;2_boom;;;
Opp_June_15_Session_1_zoom_syncedboom;235964;236196;4;2_bark;;;
Opp_June_15_Session_1_zoom_syncedboom;236205;236593;4;3_boom;;;
Opp_June_15_Session_1_zoom_syncedboom;236708;237081;4;3_bark;;;
Opp_June_15_Session_1_zoom_syncedboom;237502;237845;4;4_boom;;;
Opp_June_15_Session_1_zoom_syncedboom;238011;238283;4;4_bark;;;
Opp_June_15_Session_1_zoom_syncedboom;240493;240901;4;5_boom;;;
Opp_June_15_Session_1_zoom_syncedboom;241035;241291;4;5_bark;;;
Opp_June_15_Session_1_zoom_syncedboom;241362;241772;4;6_boom;;;
Opp_June_15_Session_1_zoom_syncedboom;241777;242041;4;6_bark;;;
